Id,area,end_date,lat,lon,ratiocci,start_date
23036871,360412616.7153661,2019-07-28,43.6336373539297,-112.7646707223802,0.7289940393515616,2019-07-20
23159836,145753346.1010293,2019-08-11,42.6728229913166,-115.5203672717368,0.9600310013271331,2019-08-04
23036806,176449581.60676628,2019-07-23,46.47210311410917,-119.69838139455253,0.9415788695883344,2019-07-17
23160475,171726674.96142033,2019-08-17,47.97133596553884,-118.4928060131422,0.931652875783242,2019-08-01
23410594,300522212.0467144,2019-11-01,38.68252579907912,-122.7708095095577,0.7911354546809984,2019-10-22
23300669,183962507.301859,2019-09-19,40.08895328294924,-120.59686721875585,0.960229968124818,2019-09-03
22712973,331003692.9644752,2019-04-13,38.17394937273371,-96.6254441980973,0.9370873933336644,2019-03-21
22938749,448851174.6692264,2019-07-01,33.49683128821324,-111.19124161705687,0.9643006948664732,2019-06-08
22713339,224318565.7066608,2019-04-13,37.35757362967273,-96.56537468154744,0.7740634207970879,2019-03-31
22712904,175162473.61082676,2019-04-11,38.505749477933655,-96.46544135891806,0.9225043735700988,2019-03-26
