Id,lats_min,lats_max,lons_min,lons_max,start_date,end_date
donnie_creek,56.75,58.15,-120.43,-123.07,2023-05-01,2023-07-16
slave_lake,54.68,55.56,-114.84,-116.55,2023-05-01,2023-07-16
